emotion,chatgpt-4o-latest_FRAMES,gpt-5_FRAMES,gpt-5.2-pro_FRAMES,gpt-5.1-chat-latest_FRAMES,gpt-5.2-chat-latest_FRAMES,gpt-5-mini_FRAMES,gpt-5-nano_FRAMES,chatgpt-4o-latest_TEXT,gpt-5_TEXT,gpt-5.2-pro_TEXT,gpt-5.1-chat-latest_TEXT,gpt-5.2-chat-latest_TEXT,gpt-5-mini_TEXT,gpt-5-nano_TEXT,gpt-4o_TEXT,gpt-4o-mini_TEXT,gpt-5.1_TEXT,gpt-5.2_TEXT,gpt-4.1_TEXT,gpt-4.1-mini_TEXT,gpt-4.1-nano_TEXT,gpt-4-turbo_TEXT,gpt-4_TEXT,gpt-3.5-turbo_TEXT,,,,Cohens' d,ロジスティック係数,,,,,,,,,,,,,,,,,,,
Confusion,2,1,2,3,2,2,0,1,1,2,3,0,0,1,2,2,1,2,1,3,2,3,1,2,,,Confusion,1.292 ,1.625 ,94,1つの感情として成立、次元評価不可,,,,,,,,,,,,,,,,,
Contempt,3,0,0,2,2,1,1,2,1,1,2,3,2,2,1,4,2,1,2,3,2,2,3,0,,,Contempt,3.958 ,1.750 ,22,Angerと近い、次元評価対象、ほかの感情カテゴリとの意味が離れている,Fear と Anxiety:同じ意味なら、サンプル数が多いものが強い,,,,,,,,,,,,,,,,
Craving,4,2,3,6,2,2,1,1,3,3,4,0,3,0,1,2,3,4,4,4,1,3,1,1,,,Craving,1.000 ,2.417 ,55,1つの感情として成立、次元評価不可,ロジスティック回帰は境界を学習しにくい,,,,,,,,,,,,,,,,
Disappointment,2,0,1,3,1,1,0,0,1,1,1,1,0,3,0,0,3,0,3,0,2,3,2,0,,,Disappointment,3.292 ,1.167 ,15,独立しがちだが弱い、次元評価対象,他の感情（特に Fear）に吸収されやすい,,,,,,,,,,,,,,,,
Disgust,4,1,3,2,2,0,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,Disgust,5.458 ,1.250 ,138,独立しがちだが弱い、次元評価対象,係数が縮退してゼロに近づく,,,,,,,,,,,,,,,,
Empathic-Pain,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,Empathic-Pain,6.792 ,0.458 ,215,次元評価対象,Anxiety は Fear のサブタイプのように扱われ、識別が難しい,,,,,,,,,,,,,,,,
Entrancement,2,1,2,4,2,3,0,0,0,0,1,0,1,1,0,0,2,4,2,3,1,0,0,0,,,Entrancement,0.000 ,1.208 ,138,次元評価不可,,,,,,,,,,,,,,,,,
Envy,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Envy,0.125 ,0.083 ,2,ほとんど評価されない,,,,,,,,,,,,,,,,,
Excitement,1,1,2,1,1,2,2,3,3,2,2,0,2,1,2,2,3,2,3,2,1,2,3,2,,,Excitement,2.833 ,1.875 ,174,1つの感情として成立、次元評価対象,,,,,,,,,,,,,,,,,
Fear,3,1,2,2,2,2,4,2,0,2,2,0,1,0,1,2,1,3,1,2,1,1,3,1,,,Fear,9.917 ,1.625 ,411,Anxietyと同一。次元評価対象,Anxiety Fear 19,,,,"Fear = Anxiety , 強くて、識別しやすい",,,,,,,,,,,,
Guilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Guilt,0.000 ,0.000 ,0,ほとんど評価されない,Empathic-Pain Sadness 16,,,,Sadnessは強くて識別しやすい一方、2つの意味を持つ(Epは強いが、Sadnessと意味が似ている。,,,,,,,,,,,,
Horror,4,1,1,4,1,1,2,1,1,1,2,0,0,0,1,2,1,1,3,3,2,1,2,0,,,Horror,9.792 ,1.458 ,172,1つの感情として成立、次元評価対象,Sadness Sympathy 9,,,,Sympathyはそれ自体の意味が弱く、Sadnessのもうひとつの意味とみなせる。,,,,,,,,,,,,
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,,,Interest,0.375 ,0.167 ,455,独立しがちだが弱い、次元評価不可,Romance Sexual-Desire 13,,,,Romance=Sexual-desireは、特定の次元が強く効く。また、両者は他の感情とは明らかに異なる意味を持つ。,,,,,,,,,,,,
Joy,2,2,2,2,2,2,1,1,2,2,2,0,2,1,1,3,3,2,2,2,2,2,2,1,,,Joy,4.333 ,1.792 ,438,1つの感情として成立、次元評価対象,Anger Contempt 13,,,,Anger=Contemptは、強い感情で、両者は他の感情とは明らかに異なる意味を持つ。,,,,,,,,,,,,
Nostalgia,1,1,2,2,1,0,0,1,2,0,1,0,0,0,0,0,2,0,1,0,2,2,1,2,,,Nostalgia,1.292 ,0.875 ,88,独立しがちだが弱い、次元評価不可,Aesthetic-Appreciation Entrancement 11,,,,14次元の中で特徴がほとんど現れない感情,,,,,,,,,,,,
Pride,2,2,4,2,2,1,1,2,3,2,1,0,2,1,2,1,2,2,2,3,2,3,2,3,,,Pride,4.750 ,1.958 ,50,1つの感情として成立、次元評価対象,,,,,,,,,,,,,,,,,
Relief,1,1,2,1,2,1,0,1,1,2,1,0,1,0,1,3,1,1,2,2,0,1,2,2,,,Relief,0.500 ,1.208 ,100,独立しがちだが弱い、次元評価不可,Relief Sympathy 8,,,,14次元の中で特徴がほとんど現れない感情.,,,,,,,,,,,,
Romance,5,3,3,5,5,2,2,2,1,2,3,0,2,1,1,4,4,2,3,5,3,5,4,7,,,Romance,1.917 ,3.083 ,83,SDと近い、次元評価不可、ほかの感情カテゴリと意味が離れている,Pride Triumph 8,,,,Pride=Triumphは、強い感情で、両者は他の感情とは明らかに異なる意味を持つ。,,,,,,,,,,,,
Sadness,2,2,3,4,2,3,1,3,2,1,2,0,3,3,2,1,2,2,1,1,2,3,0,0,,,Sadness,6.500 ,1.875 ,76,Empathic-Pain意味とSympathy意味が存在するが、これらとは異なる意味も持っている。,Craving Satisfaction 6,,,,CravingとSatisfactionが同一因子に入っていた場合でも、「Craving」は特殊、「Satisfaction」は一般、とみなせる。,,,,,,,,,,,,
Satisfaction,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,1,0,2,,,Satisfaction,0.500 ,0.417 ,140,独立しがちだが弱い、次元評価不可,,,,,,,,,,,,,,,,,
Sexual-Desire,5,6,5,4,6,2,2,6,4,6,3,0,0,1,3,5,4,5,7,7,6,5,1,3,,,Sexual-Desire,0.458 ,4.000 ,54,Romanceと近い、次元評価不可、ほかの感情カテゴリと意味が離れている,,,,,,,,,,,,,,,,,
Surprise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,Surprise,0.208 ,0.125 ,473,独立しがちだが弱い、次元評価不可,,,,,,,,,,,,,,,,,
Sympathy,1,0,1,3,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,1,0,0,,,Sympathy,1.083 ,0.542 ,107,SadnessかReliefに付随（ただしReliefは意味が弱い）、次元評価不可,,,,,,,,,,,,,,,,,
Triumph,2,2,2,4,2,2,1,3,2,4,3,0,2,1,2,2,4,4,4,4,2,4,3,2,,,Triumph,5.500 ,2.542 ,117,1つの感情として成立、次元評価対象,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Nostalgia 23,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Confusion 20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Boredom 19,,Cohens' d,ロジスティック係数,動画評価回数,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Disappointment 19,Empathic-Pain,6.792 ,0.458 ,215,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Excitement 18,Sadness,6.500 ,1.875 ,76,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Interest 18,Sympathy,1.083 ,0.542 ,107,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Disgust 18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Surprise 17,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfaction 17,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Amusement 16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Awe 16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Craving 16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Pride 15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Triumph 15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Admiration 15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Awkwardness 15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Joy 14,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Horror 14,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Adoration 13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Relief 13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cohens' d,ロジスティック係数,動画評価回数,,Cohens' dが低く、そのためロジスティック係数があまり意味しないもの,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Amusement,0.042 ,0.792 ,712,,Amusement,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Surprise,0.208 ,0.125 ,473,他の感情カテゴリとの重なりが多い,Surprise,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Aesthetic-Appreciation,0.917 ,1.125 ,472,確実に独立 OR 主感情,Aesthetic-Appreciation,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Interest,0.375 ,0.167 ,455,,Interest,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy,4.333 ,1.792 ,438,確実に独立 OR 主感情,Admiration,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Admiration,0.792 ,0.083 ,434,他の感情カテゴリとの重なりが多い,Awe,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fear,9.917 ,1.625 ,411,確実に独立 OR 主感情,Awkwardness,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Calmness,3.000 ,1.667 ,294,確実に独立 OR 主感情,Satisfaction,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Awe,0.042 ,0.958 ,242,確実に独立 OR 主感情,Entrancement,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Empathic-Pain,6.792 ,0.458 ,215,14次元では？？？？と同じになりやすい,Sympathy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Excitement,2.833 ,1.875 ,174,確実に独立 OR 主感情,Relief,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Horror,9.792 ,1.458 ,172,確実に独立 OR 主感情,Nostalgia,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Awkwardness,0.292 ,0.542 ,161,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfaction,0.500 ,0.417 ,140,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Disgust,5.458 ,1.250 ,138,14次元では？？？？と同じになりやすい,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrancement,0.000 ,1.208 ,138,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Adoration,3.333 ,1.708 ,123,確実に独立 OR 主感情,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Triumph,5.500 ,2.542 ,117,確実に独立 OR 主感情,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,8.458 ,0.042 ,111,FEAR,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sympathy,1.083 ,0.542 ,107,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Relief,0.500 ,1.208 ,100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Confusion,1.292 ,1.625 ,94,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Nostalgia,1.292 ,0.875 ,88,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Romance,1.917 ,3.083 ,83,確実に独立 OR 主感情,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sadness,6.500 ,1.875 ,76,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Craving,1.000 ,2.417 ,55,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sexual-Desire,0.458 ,4.000 ,54,確実に独立 OR 主感情,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pride,4.750 ,1.958 ,50,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Anger,6.250 ,2.250 ,25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Contempt,3.958 ,1.750 ,22,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Disappointment,3.292 ,1.167 ,15,14次元では？？？？と同じになりやすい,定量評価だけでは区別できない,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Boredom,3.417 ,1.792 ,11,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Envy,0.125 ,0.083 ,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Guilt,0.000 ,0.000 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cohens' d,ロジスティック係数,動画評価回数,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Craving,1.000 ,2.417 ,55,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfaction,0.500 ,0.417 ,140,,,,,,,,,,,,,,,,,,
