,,,, è„à 250ìÆâÊ,,, è„à 750ìÆâÊ,,
chatgpt-4o-latest,gpt-5.2,TEXT,TEXT,0.355103826,0.112,0.512,0.368460886,0.038666667,0.526666667
chatgpt-4o-latest,gpt-4.1,TEXT,TEXT,0.889570271,0.156,0.712,0.78206635,0.190666667,0.674666667
chatgpt-4o-latest,gpt-4.1-mini,TEXT,TEXT,0.682852191,0.096,0.684,0.626443036,0.098666667,0.662666667
chatgpt-4o-latest,gpt-4.1-nano,TEXT,TEXT,0.486586887,0.132,0.468,0.453606667,0.149333333,0.505333333
chatgpt-4o-latest,gpt-4-turbo,TEXT,TEXT,0.620686817,0.096,0.616,0.566798712,0.229333333,0.630666667
chatgpt-4o-latest,gpt-4,TEXT,TEXT,0.646246308,0.148,0.636,0.517643347,0.086666667,0.624
chatgpt-4o-latest,gpt-3.5-turbo,TEXT,TEXT,0.281728406,0.088,0.424,0.245067616,0.036,0.444
gpt-5,gpt-5.2-pro,TEXT,TEXT,0.569715797,0.276,0.736,0.584070082,0.433333333,0.726666667
gpt-5,gpt-5.1-chat-latest,TEXT,TEXT,0.516233221,0.084,0.764,0.507031334,0.064,0.721333333
gpt-5,gpt-5.2-chat-latest,TEXT,TEXT,0.542735217,0.376,0.736,0.521660159,0.197333333,0.72
gpt-5,gpt-5-mini,TEXT,TEXT,0.626320576,0.176,0.752,0.565239259,0.14,0.716
gpt-5,gpt-5-nano,TEXT,TEXT,0.516119891,0.304,0.616,0.474069133,0.384,0.574666667
gpt-5,gpt-4o,TEXT,TEXT,0.514785494,0.396,0.724,0.464235987,0.254666667,0.682666667
gpt-5,gpt-4o-mini,TEXT,TEXT,0.443061769,0.1,0.6,0.382809163,0.052,0.590666667
gpt-5,gpt-5.1,TEXT,TEXT,0.500319723,0.416,0.732,0.523871216,0.42,0.664
gpt-5,gpt-5.2,TEXT,TEXT,0.537246052,0.38,0.624,0.487066785,0.126666667,0.610666667
gpt-5,gpt-4.1,TEXT,TEXT,0.462120908,0.192,0.724,0.432072378,0.128,0.676
gpt-5,gpt-4.1-mini,TEXT,TEXT,0.396409513,0.316,0.728,0.385870346,0.213333333,0.662666667
gpt-5,gpt-4.1-nano,TEXT,TEXT,0.37180644,0.168,0.58,0.3158234,0.365333333,0.513333333
gpt-5,gpt-4-turbo,TEXT,TEXT,0.523223726,0.248,0.684,0.454652629,0.14,0.644
gpt-5,gpt-4,TEXT,TEXT,0.417274396,0.448,0.708,0.293396045,0.409333333,0.662666667
gpt-5,gpt-3.5-turbo,TEXT,TEXT,0.197023193,0.216,0.516,0.168619414,0.212,0.477333333
gpt-5.2-pro,gpt-5.1-chat-latest,TEXT,TEXT,0.607304208,0.368,0.708,0.605784062,0.333333333,0.726666667
gpt-5.2-pro,gpt-5.2-chat-latest,TEXT,TEXT,0.527369334,0.284,0.776,0.557584274,0.310666667,0.789333333
gpt-5.2-pro,gpt-5-mini,TEXT,TEXT,0.657208673,0.208,0.716,0.639132916,0.224,0.72
gpt-5.2-pro,gpt-5-nano,TEXT,TEXT,0.563624642,0.424,0.584,0.534256063,0.309333333,0.633333333
gpt-5.2-pro,gpt-4o,TEXT,TEXT,0.534728958,0.28,0.728,0.492374048,0.34,0.709333333
gpt-5.2-pro,gpt-4o-mini,TEXT,TEXT,0.437549011,0.424,0.596,0.437321796,0.388,0.585333333
gpt-5.2-pro,gpt-5.1,TEXT,TEXT,0.484253387,0.108,0.644,0.505286448,0.553333333,0.657333333
gpt-5.2-pro,gpt-5.2,TEXT,TEXT,0.524061337,0.124,0.656,0.504360927,0.110666667,0.698666667
gpt-5.2-pro,gpt-4.1,TEXT,TEXT,0.380785617,0.112,0.632,0.411006971,0.161333333,0.649333333
gpt-5.2-pro,gpt-4.1-mini,TEXT,TEXT,0.475636455,0.208,0.632,0.4752585,0.28,0.657333333
gpt-5.2-pro,gpt-4.1-nano,TEXT,TEXT,0.364792744,0.216,0.548,0.354736692,0.162666667,0.54
gpt-5.2-pro,gpt-4-turbo,TEXT,TEXT,0.483651047,0.26,0.644,0.476332102,0.264,0.650666667
gpt-5.2-pro,gpt-4,TEXT,TEXT,0.49650638,0.396,0.648,0.375680808,0.296,0.66
gpt-5.2-pro,gpt-3.5-turbo,TEXT,TEXT,0.339579033,0.284,0.548,0.295446803,0.276,0.509333333
gpt-5.1-chat-latest,gpt-5.2-chat-latest,TEXT,TEXT,0.477872995,0.068,0.708,0.523746544,0.084,0.718666667
gpt-5.1-chat-latest,gpt-5-mini,TEXT,TEXT,0.557723307,0.316,0.692,0.533835055,0.445333333,0.728
gpt-5.1-chat-latest,gpt-5-nano,TEXT,TEXT,0.52004655,0.352,0.632,0.537302784,0.52,0.648
gpt-5.1-chat-latest,gpt-4o,TEXT,TEXT,0.589061357,0.076,0.704,0.580390301,0.116,0.718666667
gpt-5.1-chat-latest,gpt-4o-mini,TEXT,TEXT,0.429924692,0.132,0.584,0.402488126,0.1,0.602666667
gpt-5.1-chat-latest,gpt-5.1,TEXT,TEXT,0.552775789,0.2,0.676,0.528687024,0.221333333,0.685333333
gpt-5.1-chat-latest,gpt-5.2,TEXT,TEXT,0.568194926,0.16,0.596,0.487106285,0.496,0.614666667
gpt-5.1-chat-latest,gpt-4.1,TEXT,TEXT,0.484793407,0.368,0.68,0.495402611,0.272,0.676
gpt-5.1-chat-latest,gpt-4.1-mini,TEXT,TEXT,0.554392474,0.376,0.652,0.501181305,0.113333333,0.689333333
gpt-5.1-chat-latest,gpt-4.1-nano,TEXT,TEXT,0.453165683,0.04,0.524,0.319931236,0.064,0.544
gpt-5.1-chat-latest,gpt-4-turbo,TEXT,TEXT,0.501591244,0.152,0.596,0.479441941,0.076,0.653333333
gpt-5.1-chat-latest,gpt-4,TEXT,TEXT,0.441059181,0.148,0.664,0.332992714,0.110666667,0.656
gpt-5.1-chat-latest,gpt-3.5-turbo,TEXT,TEXT,0.205916167,0.024,0.508,0.214364837,0.046666667,0.504
gpt-5.2-chat-latest,gpt-5-mini,TEXT,TEXT,0.485328493,0.272,0.716,0.540498417,0.213333333,0.729333333
gpt-5.2-chat-latest,gpt-5-nano,TEXT,TEXT,0.378681178,0.308,0.62,0.445543265,0.384,0.649333333
gpt-5.2-chat-latest,gpt-4o,TEXT,TEXT,0.503456589,0.544,0.74,0.506796882,0.349333333,0.726666667
gpt-5.2-chat-latest,gpt-4o-mini,TEXT,TEXT,0.457952239,0.392,0.632,0.468553812,0.353333333,0.632
gpt-5.2-chat-latest,gpt-5.1,TEXT,TEXT,0.447175934,0.376,0.68,0.474484382,0.324,0.649333333
gpt-5.2-chat-latest,gpt-5.2,TEXT,TEXT,0.492814371,0.076,0.628,0.446194779,0.138666667,0.642666667
gpt-5.2-chat-latest,gpt-4.1,TEXT,TEXT,0.437845812,0.272,0.684,0.47051336,0.146666667,0.674666667
gpt-5.2-chat-latest,gpt-4.1-mini,TEXT,TEXT,0.375286635,0.18,0.664,0.39257692,0.133333333,0.665333333
gpt-5.2-chat-latest,gpt-4.1-nano,TEXT,TEXT,0.281489901,0.036,0.564,0.320887582,0.013333333,0.566666667
gpt-5.2-chat-latest,gpt-4-turbo,TEXT,TEXT,0.501830494,0.336,0.676,0.49990315,0.285333333,0.673333333
gpt-5.2-chat-latest,gpt-4,TEXT,TEXT,0.441983773,0.288,0.688,0.429738155,0.28,0.685333333
gpt-5.2-chat-latest,gpt-3.5-turbo,TEXT,TEXT,0.151829221,0.396,0.528,0.175723334,0.268,0.532
gpt-5-mini,gpt-5-nano,TEXT,TEXT,0.545841167,0.296,0.624,0.515779406,0.449333333,0.626666667
gpt-5-mini,gpt-4o,TEXT,TEXT,0.554435122,0.2,0.684,0.525662397,0.165333333,0.705333333
gpt-5-mini,gpt-4o-mini,TEXT,TEXT,0.454247149,0.428,0.604,0.409680345,0.450666667,0.606666667
gpt-5-mini,gpt-5.1,TEXT,TEXT,0.512801751,0.292,0.696,0.517321534,0.090666667,0.689333333
gpt-5-mini,gpt-5.2,TEXT,TEXT,0.422775447,0.192,0.608,0.377638242,0.104,0.601333333
gpt-5-mini,gpt-4.1,TEXT,TEXT,0.484341697,0.256,0.728,0.471777894,0.152,0.696
gpt-5-mini,gpt-4.1-mini,TEXT,TEXT,0.52586606,0.236,0.748,0.47313349,0.2,0.721333333
gpt-5-mini,gpt-4.1-nano,TEXT,TEXT,0.492073464,0.052,0.536,0.411225526,0.021333333,0.54
gpt-5-mini,gpt-4-turbo,TEXT,TEXT,0.496534596,0.264,0.696,0.442498491,0.144,0.68
gpt-5-mini,gpt-4,TEXT,TEXT,0.432537529,0.148,0.64,0.370428377,0.237333333,0.645333333
gpt-5-mini,gpt-3.5-turbo,TEXT,TEXT,0.315019012,0.476,0.528,0.289449052,0.317333333,0.501333333
gpt-5-nano,gpt-4o,TEXT,TEXT,0.581163828,0.064,0.596,0.518933123,0.1,0.626666667
gpt-5-nano,gpt-4o-mini,TEXT,TEXT,0.417272074,0.308,0.624,0.397347283,0.4,0.628
gpt-5-nano,gpt-5.1,TEXT,TEXT,0.525802414,0.032,0.612,0.464322444,0.068,0.6
gpt-5-nano,gpt-5.2,TEXT,TEXT,0.511208314,0.3,0.524,0.418566748,0.330666667,0.54
gpt-5-nano,gpt-4.1,TEXT,TEXT,0.591699952,0.164,0.584,0.495127924,0.081333333,0.577333333
gpt-5-nano,gpt-4.1-mini,TEXT,TEXT,0.566138046,0.32,0.616,0.521858934,0.265333333,0.625333333
gpt-5-nano,gpt-4.1-nano,TEXT,TEXT,0.408382476,0.256,0.604,0.418416695,0.056,0.610666667
gpt-5-nano,gpt-4-turbo,TEXT,TEXT,0.532904324,0.276,0.592,0.522379782,0.308,0.613333333
gpt-5-nano,gpt-4,TEXT,TEXT,0.524018413,0.344,0.584,0.418693726,0.162666667,0.592
gpt-5-nano,gpt-3.5-turbo,TEXT,TEXT,0.337856196,0.436,0.616,0.327821182,0.473333333,0.605333333
gpt-4o,gpt-4o-mini,TEXT,TEXT,0.389545776,0.224,0.616,0.338214475,0.38,0.624
gpt-4o,gpt-5.1,TEXT,TEXT,0.636701619,0.412,0.728,0.604366886,0.316,0.701333333
gpt-4o,gpt-5.2,TEXT,TEXT,0.58212973,0.36,0.604,0.470046666,0.257333333,0.601333333
gpt-4o,gpt-4.1,TEXT,TEXT,0.77003941,0.1,0.716,0.650467333,0.345333333,0.737333333
gpt-4o,gpt-4.1-mini,TEXT,TEXT,0.681359991,0.324,0.7,0.590501571,0.245333333,0.697333333
gpt-4o,gpt-4.1-nano,TEXT,TEXT,0.547105335,0.196,0.56,0.456341791,0.252,0.538666667
gpt-4o,gpt-4-turbo,TEXT,TEXT,0.68681183,0.108,0.7,0.573323694,0.124,0.696
gpt-4o,gpt-4,TEXT,TEXT,0.669075192,0.22,0.72,0.588596226,0.153333333,0.696
gpt-4o,gpt-3.5-turbo,TEXT,TEXT,0.254011874,0.24,0.528,0.179043603,0.264,0.496
gpt-4o-mini,gpt-5.1,TEXT,TEXT,0.369854163,0.152,0.58,0.320701998,0.136,0.568
gpt-4o-mini,gpt-5.2,TEXT,TEXT,0.435838008,0.264,0.516,0.401377863,0.276,0.52
gpt-4o-mini,gpt-4.1,TEXT,TEXT,0.351127457,0.308,0.588,0.31634064,0.281333333,0.568
gpt-4o-mini,gpt-4.1-mini,TEXT,TEXT,0.277858239,0.46,0.62,0.310303627,0.210666667,0.625333333
gpt-4o-mini,gpt-4.1-nano,TEXT,TEXT,0.301959889,0.084,0.608,0.294985873,0.252,0.616
gpt-4o-mini,gpt-4-turbo,TEXT,TEXT,0.549644106,0.476,0.692,0.543787238,0.352,0.670666667
gpt-4o-mini,gpt-4,TEXT,TEXT,0.360125338,0.436,0.656,0.273384071,0.416,0.646666667
gpt-4o-mini,gpt-3.5-turbo,TEXT,TEXT,0.326263408,0.44,0.628,0.333707654,0.434666667,0.64
gpt-5.1,gpt-5.2,TEXT,TEXT,0.671383544,0.048,0.6,0.583618027,0.048,0.58
gpt-5.1,gpt-4.1,TEXT,TEXT,0.602248635,0.352,0.732,0.574718942,0.589333333,0.708
gpt-5.1,gpt-4.1-mini,TEXT,TEXT,0.56280969,0.568,0.724,0.543986761,0.366666667,0.694666667
gpt-5.1,gpt-4.1-nano,TEXT,TEXT,0.501018698,0.248,0.548,0.4543101,0.277333333,0.521333333
gpt-5.1,gpt-4-turbo,TEXT,TEXT,0.598768046,0.156,0.692,0.503027239,0.213333333,0.66
gpt-5.1,gpt-4,TEXT,TEXT,0.825947795,0.256,0.72,0.579744795,0.232,0.670666667
gpt-5.1,gpt-3.5-turbo,TEXT,TEXT,0.273328876,0.18,0.468,0.210690287,0.170666667,0.454666667
gpt-5.2,gpt-4.1,TEXT,TEXT,0.551226076,0.12,0.62,0.450511943,0.124,0.604
gpt-5.2,gpt-4.1-mini,TEXT,TEXT,0.427206365,0.208,0.544,0.416390163,0.129333333,0.574666667
gpt-5.2,gpt-4.1-nano,TEXT,TEXT,0.394686815,0.136,0.516,0.320111582,0.081333333,0.494666667
gpt-5.2,gpt-4-turbo,TEXT,TEXT,0.485399668,0.504,0.588,0.460037616,0.189333333,0.593333333
gpt-5.2,gpt-4,TEXT,TEXT,0.466919009,0.152,0.608,0.310955506,0.224,0.596
gpt-5.2,gpt-3.5-turbo,TEXT,TEXT,0.185482825,0.188,0.476,0.147117333,0.142666667,0.466666667
gpt-4.1,gpt-4.1-mini,TEXT,TEXT,0.749936117,0.108,0.74,0.620891041,0.126666667,0.725333333
gpt-4.1,gpt-4.1-nano,TEXT,TEXT,0.558040539,0.192,0.496,0.426787186,0.158666667,0.494666667
gpt-4.1,gpt-4-turbo,TEXT,TEXT,0.676864038,0.308,0.684,0.580141904,0.073333333,0.698666667
gpt-4.1,gpt-4,TEXT,TEXT,0.688655541,0.096,0.756,0.511383554,0.156,0.716
gpt-4.1,gpt-3.5-turbo,TEXT,TEXT,0.24535765,0.064,0.476,0.174219955,0.125333333,0.441333333
gpt-4.1-mini,gpt-4.1-nano,TEXT,TEXT,0.776322198,0.22,0.54,0.603951578,0.304,0.554666667
gpt-4.1-mini,gpt-4-turbo,TEXT,TEXT,0.481053888,0.18,0.7,0.513044338,0.336,0.690666667
gpt-4.1-mini,gpt-4,TEXT,TEXT,0.574476996,0.372,0.676,0.50779863,0.501333333,0.666666667
gpt-4.1-mini,gpt-3.5-turbo,TEXT,TEXT,0.294442393,0.256,0.532,0.221927804,0.144,0.509333333
gpt-4.1-nano,gpt-4-turbo,TEXT,TEXT,0.471066185,0.188,0.628,0.393558469,0.222666667,0.566666667
gpt-4.1-nano,gpt-4,TEXT,TEXT,0.444757154,0.224,0.576,0.339777119,0.228,0.549333333
gpt-4.1-nano,gpt-3.5-turbo,TEXT,TEXT,0.241812952,0.104,0.632,0.210197627,0.089333333,0.612
gpt-4-turbo,gpt-4,TEXT,TEXT,0.638482728,0.256,0.812,0.556332723,0.401333333,0.804
gpt-4-turbo,gpt-3.5-turbo,TEXT,TEXT,0.268413588,0.376,0.58,0.256228294,0.158666667,0.538666667
gpt-4,gpt-3.5-turbo,TEXT,TEXT,0.241371515,0.204,0.564,0.139703531,0.181333333,0.522666667
