emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence,,,,,,
Disappointment,14,2043,-0.632 ,-0.872 ,-1.322 ,-0.625 ,0.517 ,-0.523 ,-0.486 ,0.315 ,-0.392 ,-0.006 ,1.086 ,0.257 ,-1.014 ,-0.942 ,,,,,,
Disgust,137,1920,-1.995 ,0.530 ,0.262 ,-0.265 ,-0.648 ,-1.162 ,-1.233 ,-0.126 ,-1.338 ,-1.522 ,1.277 ,-1.313 ,-1.813 ,-2.051 ,,←14次元がマイナスになりやすい感情,,,,
Empathic-Pain,213,1844,-1.420 ,0.535 ,0.547 ,-0.538 ,0.148 ,-1.464 ,-1.634 ,0.447 ,-1.669 ,-0.617 ,1.917 ,-1.552 ,-1.585 ,-2.023 ,,←14次元がマイナスになりやすい感情,,,,
Entrancement,136,1921,0.110 ,-0.383 ,0.387 ,-0.011 ,-0.365 ,0.064 ,0.092 ,-0.496 ,0.086 ,0.072 ,-0.504 ,0.316 ,-0.230 ,0.361 ,,,,,,
Envy,2,2055,-0.069 ,-0.225 ,-0.948 ,0.165 ,-0.683 ,1.054 ,1.135 ,-0.311 ,-0.390 ,0.199 ,-0.667 ,0.373 ,0.216 ,0.371 ,,,,,,
Excitement,172,1885,0.804 ,1.556 ,1.253 ,0.064 ,1.406 ,0.570 ,0.769 ,1.566 ,0.488 ,0.724 ,-0.217 ,-0.588 ,0.993 ,0.357 ,,,,,,
Fear,409,1648,-1.937 ,1.717 ,1.528 ,-1.973 ,0.210 ,-1.989 ,-2.159 ,0.809 ,-1.001 ,-0.857 ,2.218 ,-2.650 ,-1.458 ,-2.324 ,,←14次元がマイナスになりやすい感情,,,,恐怖を 非常に構造的に捉えている と言えます。
Horror,171,1886,-2.301 ,1.288 ,1.121 ,-1.100 ,-0.247 ,-1.762 ,-1.884 ,0.413 ,-1.944 ,-1.299 ,2.168 ,-1.978 ,-2.145 ,-2.314 ,,←14次元がマイナスになりやすい感情,,,,
Interest,452,1605,0.282 ,-0.340 ,-0.023 ,0.128 ,-0.245 ,0.423 ,0.420 ,0.076 ,0.143 ,-0.266 ,-0.508 ,0.392 ,0.193 ,0.363 ,,,,,,
Joy,432,1625,1.233 ,-0.164 ,-0.617 ,1.056 ,0.370 ,0.901 ,0.968 ,-0.348 ,0.954 ,1.115 ,-0.931 ,1.166 ,1.229 ,1.220 ,,,,,,
Nostalgia,87,1970,0.466 ,-1.114 ,-1.157 ,0.680 ,0.303 ,0.607 ,0.455 ,-0.783 ,0.667 ,1.370 ,-0.635 ,0.902 ,0.110 ,0.584 ,,,,,,
Pride,49,2008,0.975 ,0.145 ,0.027 ,0.924 ,1.643 ,1.216 ,1.186 ,1.334 ,1.274 ,2.232 ,-0.599 ,0.698 ,1.164 ,0.856 ,,←14次元が動きやすい感情,,,,
Relief,99,1958,-0.320 ,0.335 ,0.440 ,-0.526 ,0.774 ,-0.580 ,-0.675 ,0.915 ,0.225 ,-0.035 ,1.032 ,-0.686 ,0.613 ,-0.514 ,,,,,,
Romance,83,1974,1.082 ,-0.031 ,-0.440 ,0.687 ,1.340 ,0.589 ,0.668 ,-0.529 ,0.896 ,1.226 ,-0.731 ,0.791 ,0.636 ,0.878 ,,,,,,
Sadness,73,1984,-0.986 ,-0.216 ,-0.033 ,-0.389 ,0.358 ,-1.463 ,-1.585 ,0.100 ,-1.828 ,-0.008 ,1.572 ,-1.166 ,-1.611 ,-1.708 ,,,,,,
Satisfaction,139,1918,0.527 ,-0.958 ,-0.852 ,1.005 ,-0.195 ,1.051 ,0.754 ,-0.299 ,0.312 ,-0.058 ,-0.760 ,0.972 ,0.242 ,0.661 ,,,,,,
Sexual-Desire,54,2003,0.971 ,0.844 ,0.078 ,0.402 ,0.598 ,0.494 ,0.786 ,-0.309 ,0.312 ,0.687 ,-0.644 ,0.454 ,0.409 ,0.674 ,,,,,,
Surprise,472,1585,-0.309 ,0.531 ,0.397 ,-0.885 ,-0.474 ,-0.546 ,-0.333 ,-0.000 ,-0.094 ,-0.628 ,0.342 ,-0.452 ,0.051 ,-0.212 ,,,,,,
Sympathy,105,1952,-0.400 ,-0.141 ,0.015 ,-0.463 ,0.578 ,-0.993 ,-1.104 ,0.538 ,-0.622 ,-0.028 ,1.243 ,-0.865 ,-0.463 ,-1.004 ,,,,,,
Triumph,116,1941,1.141 ,1.076 ,0.551 ,0.662 ,1.835 ,1.239 ,1.541 ,1.860 ,1.078 ,1.518 ,-0.295 ,0.043 ,1.525 ,0.801 ,,←14次元が動きやすい感情,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,, 1.0?2.5 :「その感情のときに特定の特徴が強烈に現れる」ことを意味します。,,,,,,,,,,,,,,,,,,,
,,,,↑刺激的感情,,,,,,,↑負の感情だと低い,,↑負の感情、「感情の背景が負」のものも出てくる,,,,,,,,,
,,,,,,,,,,,,,,,Fear,,,,,,,
,,,,,,,,,,,,,,,Anxiety,,,,,,,
,,,,,,,,,,,,,,,Joy,,,,,,,
,,,,,,,,,,,,,,,Pride,,,,,,,
,,,,,,,,,,,,,,,Triumph,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,などは 特徴量のパターンが極めて明確 で、,,,,,,,
,,,,,,,,,,,,,,,Cohen’s d が 1.5?2.5 の軸が複数あります。,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,これは「その感情が出ているときに、特定の特徴が強烈に現れる」ことを意味します。,,,,,,,
