,chatgpt-4o-latest / gpt-5,chatgpt-4o-latest / gpt-5.2-pro,chatgpt-4o-latest / gpt-5.1-chat-latest,chatgpt-4o-latest / gpt-5.2-chat-latest,chatgpt-4o-latest / gpt-5-mini,chatgpt-4o-latest / gpt-5-nano,chatgpt-4o-latest / gpt-4o,chatgpt-4o-latest / gpt-4o-mini,chatgpt-4o-latest / gpt-5.1,chatgpt-4o-latest / gpt-5.2,chatgpt-4o-latest / gpt-4.1,chatgpt-4o-latest / gpt-4.1-mini,chatgpt-4o-latest / gpt-4.1-nano,chatgpt-4o-latest / gpt-4-turbo,chatgpt-4o-latest / gpt-4,chatgpt-4o-latest / gpt-3.5-turbo,gpt-5 / gpt-5.2-pro,gpt-5 / gpt-5.1-chat-latest,gpt-5 / gpt-5.2-chat-latest,gpt-5 / gpt-5-mini,gpt-5 / gpt-5-nano,gpt-5 / gpt-4o,gpt-5 / gpt-4o-mini,gpt-5 / gpt-5.1,gpt-5 / gpt-5.2,gpt-5 / gpt-4.1,gpt-5 / gpt-4.1-mini,gpt-5 / gpt-4.1-nano,gpt-5 / gpt-4-turbo,gpt-5 / gpt-4,gpt-5 / gpt-3.5-turbo,gpt-5.2-pro / gpt-5.1-chat-latest,gpt-5.2-pro / gpt-5.2-chat-latest,gpt-5.2-pro / gpt-5-mini,gpt-5.2-pro / gpt-5-nano,gpt-5.2-pro / gpt-4o,gpt-5.2-pro / gpt-4o-mini,gpt-5.2-pro / gpt-5.1,gpt-5.2-pro / gpt-5.2,gpt-5.2-pro / gpt-4.1,gpt-5.2-pro / gpt-4.1-mini,gpt-5.2-pro / gpt-4.1-nano,gpt-5.2-pro / gpt-4-turbo,gpt-5.2-pro / gpt-4,gpt-5.2-pro / gpt-3.5-turbo,gpt-5.1-chat-latest / gpt-5.2-chat-latest,gpt-5.1-chat-latest / gpt-5-mini,gpt-5.1-chat-latest / gpt-5-nano,gpt-5.1-chat-latest / gpt-4o,gpt-5.1-chat-latest / gpt-4o-mini,gpt-5.1-chat-latest / gpt-5.1,gpt-5.1-chat-latest / gpt-5.2,gpt-5.1-chat-latest / gpt-4.1,gpt-5.1-chat-latest / gpt-4.1-mini,gpt-5.1-chat-latest / gpt-4.1-nano,gpt-5.1-chat-latest / gpt-4-turbo,gpt-5.1-chat-latest / gpt-4,gpt-5.1-chat-latest / gpt-3.5-turbo,gpt-5.2-chat-latest / gpt-5-mini,gpt-5.2-chat-latest / gpt-5-nano,gpt-5.2-chat-latest / gpt-4o,gpt-5.2-chat-latest / gpt-4o-mini,gpt-5.2-chat-latest / gpt-5.1,gpt-5.2-chat-latest / gpt-5.2,gpt-5.2-chat-latest / gpt-4.1,gpt-5.2-chat-latest / gpt-4.1-mini,gpt-5.2-chat-latest / gpt-4.1-nano,gpt-5.2-chat-latest / gpt-4-turbo,gpt-5.2-chat-latest / gpt-4,gpt-5.2-chat-latest / gpt-3.5-turbo,gpt-5-mini / gpt-5-nano,gpt-5-mini / gpt-4o,gpt-5-mini / gpt-4o-mini,gpt-5-mini / gpt-5.1,gpt-5-mini / gpt-5.2,gpt-5-mini / gpt-4.1,gpt-5-mini / gpt-4.1-mini,gpt-5-mini / gpt-4.1-nano,gpt-5-mini / gpt-4-turbo,gpt-5-mini / gpt-4,gpt-5-mini / gpt-3.5-turbo,gpt-5-nano / gpt-4o,gpt-5-nano / gpt-4o-mini,gpt-5-nano / gpt-5.1,gpt-5-nano / gpt-5.2,gpt-5-nano / gpt-4.1,gpt-5-nano / gpt-4.1-mini,gpt-5-nano / gpt-4.1-nano,gpt-5-nano / gpt-4-turbo,gpt-5-nano / gpt-4,gpt-5-nano / gpt-3.5-turbo,gpt-4o / gpt-4o-mini,gpt-4o / gpt-5.1,gpt-4o / gpt-5.2,gpt-4o / gpt-4.1,gpt-4o / gpt-4.1-mini,gpt-4o / gpt-4.1-nano,gpt-4o / gpt-4-turbo,gpt-4o / gpt-4,gpt-4o / gpt-3.5-turbo,gpt-4o-mini / gpt-5.1,gpt-4o-mini / gpt-5.2,gpt-4o-mini / gpt-4.1,gpt-4o-mini / gpt-4.1-mini,gpt-4o-mini / gpt-4.1-nano,gpt-4o-mini / gpt-4-turbo,gpt-4o-mini / gpt-4,gpt-4o-mini / gpt-3.5-turbo,gpt-5.1 / gpt-5.2,gpt-5.1 / gpt-4.1,gpt-5.1 / gpt-4.1-mini,gpt-5.1 / gpt-4.1-nano,gpt-5.1 / gpt-4-turbo,gpt-5.1 / gpt-4,gpt-5.1 / gpt-3.5-turbo,gpt-5.2 / gpt-4.1,gpt-5.2 / gpt-4.1-mini,gpt-5.2 / gpt-4.1-nano,gpt-5.2 / gpt-4-turbo,gpt-5.2 / gpt-4,gpt-5.2 / gpt-3.5-turbo,gpt-4.1 / gpt-4.1-mini,gpt-4.1 / gpt-4.1-nano,gpt-4.1 / gpt-4-turbo,gpt-4.1 / gpt-4,gpt-4.1 / gpt-3.5-turbo,gpt-4.1-mini / gpt-4.1-nano,gpt-4.1-mini / gpt-4-turbo,gpt-4.1-mini / gpt-4,gpt-4.1-mini / gpt-3.5-turbo,gpt-4.1-nano / gpt-4-turbo,gpt-4.1-nano / gpt-4,gpt-4.1-nano / gpt-3.5-turbo,gpt-4-turbo / gpt-4,gpt-4-turbo / gpt-3.5-turbo,gpt-4 / gpt-3.5-turbo,min,max,1ÇÃå¬êî
452,0.038446751,0.038446751,0,0.038446751,0.038831219,0.038831219,0.038446751,0.038831219,0.038831219,0.038446751,0.038446751,0.038831219,0.038831219,0.038831219,0.038831219,0.038831219,0.038446751,0.038446751,0.038446751,0.034986544,0.034986544,0,0.034986544,0.034986544,0.038446751,0,0.000384468,0.000384468,0.000384468,0.034986544,0.034986544,0.038446751,0,0.000384468,0.000384468,0.038446751,0.000384468,0.000384468,0,0.038446751,0.034986544,0.034986544,0.034986544,0.000384468,0.000384468,0.038446751,0.038831219,0.038831219,0.038446751,0.038831219,0.038831219,0.038446751,0.038446751,0.038831219,0.038831219,0.038831219,0.038831219,0.038831219,0.000384468,0.000384468,0.038446751,0.000384468,0.000384468,0,0.038446751,0.034986544,0.034986544,0.034986544,0.000384468,0.000384468,0,0.034986544,0,0,0.000384468,0.034986544,0.031141869,0.031141869,0.031141869,0,0,0.034986544,0,0,0.000384468,0.034986544,0.031141869,0.031141869,0.031141869,0,0,0.034986544,0.034986544,0.038446751,0,0.000384468,0.000384468,0.000384468,0.034986544,0.034986544,0,0.000384468,0.034986544,0.031141869,0.031141869,0.031141869,0,0,0.000384468,0.034986544,0.031141869,0.031141869,0.031141869,0,0,0.038446751,0.034986544,0.034986544,0.034986544,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.034986544,0.034986544,0,0,0.031141869,0.031141869,0,0.031141869,0.031141869,0.031141869,0.031141869,0,0,0.038831219,0
453,0.784698193,0.031141869,1.11E-16,1.11E-16,0.923106498,0.807381776,0.61514802,1.11E-16,0.61514802,0.031141869,1.11E-16,0.61514802,0.788542868,0.61514802,1.11E-16,0.784698193,0.61514802,0.784698193,0.784698193,0.031141869,0.942329873,0.923106498,0.784698193,0.923106498,0.61514802,0.784698193,0.923106498,0.000384468,0.923106498,0.784698193,0,0.031141869,0.031141869,0.784698193,0.803921569,0.784698193,0.031141869,0.784698193,1.11E-16,0.031141869,0.784698193,0.615532488,0.784698193,0.031141869,0.61514802,1.11E-16,0.923106498,0.807381776,0.61514802,1.11E-16,0.61514802,0.031141869,1.11E-16,0.61514802,0.788542868,0.61514802,1.11E-16,0.784698193,0.923106498,0.807381776,0.61514802,1.11E-16,0.61514802,0.031141869,1.11E-16,0.61514802,0.788542868,0.61514802,1.11E-16,0.784698193,0.976931949,0.784698193,0.923106498,0.784698193,0.784698193,0.923106498,0.784698193,0.034986544,0.784698193,0.923106498,0.031141869,0.961168781,0.807381776,0.961168781,0.803921569,0.807381776,0.961168781,0.942329873,0.961168781,0.807381776,0.942329873,0.61514802,0,0.784698193,0.61514802,0,0.942329873,0,0.61514802,0.923106498,0.61514802,0.031141869,1.11E-16,0.61514802,0.788542868,0.61514802,1.11E-16,0.784698193,0.784698193,0.61514802,0,0.942329873,0,0.61514802,0.923106498,0.031141869,0.784698193,0.615532488,0.784698193,0.031141869,0.61514802,0.61514802,0.788542868,0.61514802,1.11E-16,0.784698193,0.942329873,0,0.61514802,0.923106498,0.942329873,0.788542868,0.000384468,0.61514802,0.923106498,0.784698193,0,0.976931949,0
454,0.031141869,1.11E-16,0.784698193,1.11E-16,0.031141869,1.11E-16,1.11E-16,0.784698193,0.784698193,0.784698193,0.031141869,0.031141869,0.961168781,0.803921569,1.11E-16,0.807766244,0.031141869,0.923106498,0.031141869,1.11E-16,0.031141869,0.031141869,0.923106498,0.923106498,0.923106498,1.11E-16,1.11E-16,0.99231065,0.942329873,0.031141869,0.980776624,0.784698193,1.11E-16,0.031141869,1.11E-16,1.11E-16,0.784698193,0.784698193,0.784698193,0.031141869,0.031141869,0.961168781,0.803921569,1.11E-16,0.807766244,0.784698193,0.923106498,0.784698193,0.784698193,0,0,0,0.923106498,0.923106498,0.803921569,0.000384468,0.784698193,0.038831219,0.031141869,1.11E-16,1.11E-16,0.784698193,0.784698193,0.784698193,0.031141869,0.031141869,0.961168781,0.803921569,1.11E-16,0.807766244,0.031141869,0.031141869,0.923106498,0.923106498,0.923106498,1.11E-16,1.11E-16,0.99231065,0.942329873,0.031141869,0.980776624,1.11E-16,0.784698193,0.784698193,0.784698193,0.031141869,0.031141869,0.961168781,0.803921569,1.11E-16,0.807766244,0.784698193,0.784698193,0.784698193,0.031141869,0.031141869,0.961168781,0.803921569,1.11E-16,0.807766244,0,0,0.923106498,0.923106498,0.803921569,0.000384468,0.784698193,0.038831219,0,0.923106498,0.923106498,0.803921569,0.000384468,0.784698193,0.038831219,0.923106498,0.923106498,0.803921569,0.000384468,0.784698193,0.038831219,1.11E-16,0.99231065,0.942329873,0.031141869,0.980776624,0.99231065,0.942329873,0.031141869,0.980776624,0.803921569,0.961168781,0.615532488,0.803921569,0.038831219,0.807766244,0,0.99231065,0
455,1.11E-16,1.11E-16,1.11E-16,1.11E-16,0.034986544,1.11E-16,1.11E-16,0.615532488,0.034986544,1.11E-16,0.034986544,0.61514802,1.11E-16,1.11E-16,0.61514802,0.807729279,1.11E-16,1.11E-16,1.11E-16,0.034986544,1.11E-16,1.11E-16,0.615532488,0.034986544,1.11E-16,0.034986544,0.61514802,1.11E-16,1.11E-16,0.61514802,0.807729279,1.11E-16,1.11E-16,0.034986544,1.11E-16,1.11E-16,0.615532488,0.034986544,1.11E-16,0.034986544,0.61514802,1.11E-16,1.11E-16,0.61514802,0.807729279,1.11E-16,0.034986544,1.11E-16,1.11E-16,0.615532488,0.034986544,1.11E-16,0.034986544,0.61514802,1.11E-16,1.11E-16,0.61514802,0.807729279,0.034986544,1.11E-16,1.11E-16,0.615532488,0.034986544,1.11E-16,0.034986544,0.61514802,1.11E-16,1.11E-16,0.61514802,0.807729279,0.034986544,0.034986544,0.807766244,0.000384468,0.034986544,0.000384468,0.803921569,0.034986544,0.034986544,0.803921569,0.788502207,1.11E-16,0.615532488,0.034986544,1.11E-16,0.034986544,0.61514802,1.11E-16,1.11E-16,0.61514802,0.807729279,0.615532488,0.034986544,1.11E-16,0.034986544,0.61514802,1.11E-16,1.11E-16,0.61514802,0.807729279,0.807381776,0.615532488,0.807381776,0.000384468,0.615532488,0.615532488,0.000384468,0.961545856,0.034986544,0,0.803921569,0.034986544,0.034986544,0.803921569,0.807729279,0.034986544,0.61514802,1.11E-16,1.11E-16,0.61514802,0.807729279,0.803921569,0.034986544,0.034986544,0.803921569,0.807729279,0.61514802,0.61514802,0,0.961545856,1.11E-16,0.61514802,0.807729279,0.61514802,0.807729279,0.961545856,0,0.961545856,0
456,0.980776624,0.942329873,0.961168781,0.942329873,0.942329873,0.807766244,0.942329873,0.803921569,0.961168781,0.803921569,0.807729279,0.942329873,0.807381776,0.803921569,0.996155325,0.999615532,0.034986544,0.788542868,0.034986544,0.034986544,0.99231065,0.034986544,0.803921569,0.788542868,0.803921569,0.996154586,0.038446751,0.976931949,0.807381776,0.61514802,0.980776624,0.923106498,1.11E-16,1.11E-16,0.807381776,1.11E-16,0.61514802,0.923106498,0.61514802,0.807729279,0.000384468,0.788542868,0.615532488,0.788542868,0.980776624,0.923106498,0.923106498,0.788542868,0.923106498,0.784698193,0,0.784698193,0.807729279,0.942329873,0.807381776,0.803921569,0.034986544,0.999615532,1.11E-16,0.807381776,1.11E-16,0.61514802,0.923106498,0.61514802,0.807729279,0.000384468,0.788542868,0.615532488,0.788542868,0.980776624,0.807381776,1.11E-16,0.61514802,0.923106498,0.61514802,0.807729279,0.000384468,0.788542868,0.615532488,0.788542868,0.980776624,0.807381776,0.038446751,0.788542868,0.038446751,0.000192252,0.803921569,0.000384468,0.034986544,0.976931949,1,0.61514802,0.923106498,0.61514802,0.807729279,0.000384468,0.788542868,0.615532488,0.788542868,0.980776624,0.784698193,0,0.038646396,0.615532488,0.034986544,0.000384468,0.942329873,0.996155325,0.784698193,0.807729279,0.942329873,0.807381776,0.803921569,0.034986544,0.999615532,0.038646396,0.615532488,0.034986544,0.000384468,0.942329873,0.996155325,0.803883865,0.000192252,0.034800982,0.996154586,1,0.784698193,0.61514802,0.807381776,0.980776624,0.031141869,0.99231065,0.999615532,0.961168781,0.996155325,0.996155325,0,1,2
457,0.999615532,0.996155325,0.961553249,0.996155325,1,0.999615532,0.996155325,1,0.996155325,1,0.996155325,0.980776624,1,0.996155325,0.99231065,1,0.000384468,0.038831219,0.031141869,0.000384468,0.038446751,0.034986544,0.038831219,0.031141869,0.000192252,0.034986544,0.788542868,0.996155325,0.038831219,0.034986544,0.807766244,0.034986544,0.034986544,0.000384468,0.038831219,0.038831219,0.038831219,0.034986544,0.000192252,0.038831219,0.807766244,0.996155325,0.038446751,0.038446751,0.807766244,0.038831219,0.038831219,0.034986544,0.038446751,0.034986544,0.038831219,0.038646396,0.038831219,0.807381776,1,0.031141869,0.034986544,0.807766244,0.034986544,0.034986544,0.000384468,0.038831219,0,0.034800982,0.000384468,0.615532488,0.999615532,0.038831219,0.000384468,0.807766244,0.038831219,0.038831219,0.038831219,0.034986544,0.000192252,0.038831219,0.807766244,0.996155325,0.038831219,0.038831219,0.807766244,0.031141869,0.000384468,0.034986544,0.038646396,0.034986544,0.784698193,1,0.000384468,0.034986544,0.807766244,0.034986544,0.000384468,0.038646396,0.000384468,0.61514802,1,0.034986544,0.000384468,0.807766244,0.038831219,0.038646396,0.038446751,0.803921569,1,0.000384468,0.038831219,0.807766244,0.034800982,0.000384468,0.615532488,0.999615532,0.038831219,0.000384468,0.807766244,0.038646396,0.807729279,0.996154586,0.038646396,0.038646396,0.807729279,0.615532488,1,0.038831219,0.000384468,0.807766244,1,0.803921569,0.615532488,0.961553249,1,1,1,0.038446751,0.807766244,0.807766244,0,1,14
458,0.000384468,0,0.000384468,0.000384468,0,0.034986544,0,0.034986544,0,0.000384468,0,0,0.038831219,0,0,0.807766244,0.000384468,0.000384468,0.000384468,0.000384468,0.034986544,0.000384468,0.038831219,0.000384468,0.000384468,0.000384468,0.000384468,0.034986544,0.000384468,0.000384468,0.807766244,0.000384468,0.000384468,0,0.034986544,0,0.034986544,0,0.000384468,0,0,0.038831219,0,0,0.807766244,0.000384468,0.000384468,0.031141869,0.000384468,0.038831219,0.000384468,0.000384468,0.000384468,0.000384468,0.038831219,0.000384468,0.000384468,0.788542868,0.000384468,0.034986544,0.000384468,0.038831219,0.000384468,0,0.000384468,0.000384468,0.038831219,0.000384468,0.000384468,0.807766244,0.034986544,0,0.034986544,0,0.000384468,0,0,0.038831219,0,0,0.807766244,0.034986544,0.038831219,0.034986544,0.034986544,0.034986544,0.034986544,0.038831219,0.034986544,0.034986544,0.615532488,0.034986544,0,0.000384468,0,0,0.038831219,0,0,0.807766244,0.034986544,0.038831219,0.034986544,0.034986544,0.038446751,0.034986544,0.034986544,0.807381776,0.000384468,0,0,0.038831219,0,0,0.807766244,0.000384468,0.000384468,0.038831219,0.000384468,0.000384468,0.807766244,0,0.038831219,0,0,0.807766244,0.038831219,0,0,0.807766244,0.038831219,0.038831219,0.807381776,0,0.807766244,0.807766244,0,0.807766244,0
459,0.923106498,0.031141869,0,0,0,0.000384468,0.942329873,0.000384468,0.923106498,0,0.942329873,0,0.000384468,0.031141869,0,0.038831219,0.784698193,0.923106498,0.923106498,0.923106498,0.942329873,0.961168781,0.942329873,0,0.923106498,0.000384468,0.923106498,0.942329873,0.784698193,0.923106498,0.980776624,0.031141869,0.031141869,0.031141869,0.034986544,0.976931949,0.034986544,0.784698193,0.031141869,0.803921569,0.031141869,0.034986544,0,0.031141869,0.038831219,0,0,0.000384468,0.942329873,0.000384468,0.923106498,0,0.942329873,0,0.000384468,0.031141869,0,0.038831219,0,0.000384468,0.942329873,0.000384468,0.923106498,0,0.942329873,0,0.000384468,0.031141869,0,0.038831219,0.000384468,0.942329873,0.000384468,0.923106498,0,0.942329873,0,0.000384468,0.031141869,0,0.038831219,0.942329873,1.11E-16,0.942329873,0.000384468,0.961553249,0.000384468,1.11E-16,0.034986544,0.000384468,0.038831219,0.942329873,0.961168781,0.942329873,0.961553249,0.942329873,0.942329873,0.976931949,0.942329873,0.980776624,0.942329873,0.000384468,0.961553249,0.000384468,1.11E-16,0.034986544,0.000384468,0.038831219,0.923106498,0.000384468,0.923106498,0.942329873,0.784698193,0.923106498,0.980776624,0.942329873,0,0.000384468,0.031141869,0,0.038831219,0.942329873,0.961553249,0.803921569,0.942329873,1,0.000384468,0.031141869,0,0.038831219,0.034986544,0.000384468,0.038831219,0.031141869,0.038831219,0.038831219,0,1,1
460,0.031141869,0.031141869,0.031141869,0,0.031141869,0.000384468,0,0.031141869,0.031141869,0.034800982,0.923106498,0.000384468,0.000384468,0.031141869,0.034986544,0.000384468,0,0,0.031141869,0,0.034986544,0.031141869,0,0,0.000192252,0.784698193,0.034986544,0.034986544,0,0.038446751,0.034986544,0,0.031141869,0,0.034986544,0.031141869,0,0,0.000192252,0.784698193,0.034986544,0.034986544,0,0.038446751,0.034986544,0.031141869,0,0.034986544,0.031141869,0,0,0.000192252,0.784698193,0.034986544,0.034986544,0,0.038446751,0.034986544,0.031141869,0.000384468,0,0.031141869,0.031141869,0.034800982,0.923106498,0.000384468,0.000384468,0.031141869,0.034986544,0.000384468,0.034986544,0.031141869,0,0,0.000192252,0.784698193,0.034986544,0.034986544,0,0.038446751,0.034986544,0.000384468,0.034986544,0.034986544,0.038646396,0.942329873,1.11E-16,0.000384468,0.034986544,0.031141869,1.11E-16,0.031141869,0.031141869,0.034800982,0.923106498,0.000384468,0.000384468,0.031141869,0.034986544,0.000384468,0,0.000192252,0.784698193,0.034986544,0.034986544,0,0.038446751,0.034986544,0.000192252,0.784698193,0.034986544,0.034986544,0,0.038446751,0.034986544,0.788502207,0.038646396,0.038646396,0.000192252,0.038646396,0.038646396,0.942329873,0.942329873,0.784698193,0.976931949,0.942329873,0.000384468,0.034986544,0.031141869,1.11E-16,0.034986544,0.034986544,0.000384468,0.038446751,0.034986544,0.031141869,0,0.976931949,0
461,0.034986544,0.034986544,0.034986544,0.038446751,0.034986544,0.615532488,0.034986544,0.034986544,0.000384468,0.034986544,0.000384468,0,0.038446751,0.034986544,0.000384468,0.038646396,0.038446751,0,0.000384468,0.038446751,0.784698193,0,0.038831219,0.031141869,0.034986544,0.031141869,0.034986544,0.000384468,0.034986544,0.031141869,0.000192252,0.038446751,0.038831219,0,0.788542868,0.038446751,0.038831219,0.034986544,0.038831219,0.034986544,0.034986544,0.038831219,0.038831219,0.034986544,0.038646396,0.000384468,0.038446751,0.784698193,0,0.038831219,0.031141869,0.034986544,0.031141869,0.034986544,0.000384468,0.034986544,0.031141869,0.000192252,0.038831219,0.803921569,0.000384468,0.034986544,0.034986544,0.031141869,0.034986544,0.038446751,1.11E-16,0.031141869,0.034986544,0.000192252,0.788542868,0.038446751,0.038831219,0.034986544,0.038831219,0.034986544,0.034986544,0.038831219,0.038831219,0.034986544,0.038646396,0.784698193,0.807766244,0.61514802,0.807381776,0.61514802,0.615532488,0.803921569,0.807381776,0.61514802,0.803883865,0.038831219,0.031141869,0.034986544,0.031141869,0.034986544,0.000384468,0.034986544,0.031141869,0.000192252,0.038831219,0.000384468,0.038831219,0.034986544,0.034986544,0.000384468,0.038831219,0.038646396,0.038446751,0,0.000384468,0.034986544,0.038446751,0,0.034800982,0.038446751,0.034986544,0.031141869,1.11E-16,0.038446751,0.034800982,0.000384468,0.034986544,0.038446751,0,0.034800982,0.038446751,0.034986544,0.000384468,0.038646396,0.031141869,0.034986544,0.000192252,0.038446751,0.034800982,0.034800982,0,0.807766244,0
462,0.000384468,0.615532488,0.000384468,0.615532488,0.61514802,0.615532488,0.61514802,0.788542868,0.61514802,0.615532488,0.61514802,0.615532488,0.807766244,0.807766244,0.788542868,0.807766244,0.615532488,0.000384468,0.615532488,0.615532488,0.615532488,0.615532488,0.788542868,0.615532488,0.615532488,0.615532488,0.61514802,0.807381776,0.807381776,0.788542868,0.807766244,0.61514802,0.000384468,0.000384468,0,0.000384468,0.031141869,0.000384468,0.000384468,0.000384468,0.000384468,0.034986544,0.034986544,0.031141869,0.038446751,0.615532488,0.615532488,0.61514802,0.615532488,0.784698193,0.615532488,0.615532488,0.615532488,0.615532488,0.803921569,0.803921569,0.784698193,0.807381776,0.000384468,0.000384468,0.000384468,0.034986544,0.000384468,1.11E-16,0.000384468,0.000384468,0.038831219,0.038831219,0.034986544,0.038831219,0.000384468,0,0.034986544,0,0.000384468,0,0.000384468,0.038831219,0.038831219,0.034986544,0.038831219,0.000384468,0.031141869,0.000384468,0.000384468,0.000384468,0.000384468,0.034986544,0.034986544,0.031141869,0.038446751,0.034986544,0,0.000384468,0,0.000384468,0.038831219,0.038831219,0.034986544,0.038831219,0.034986544,0.034986544,0.034986544,0.034986544,0.000384468,0.000384468,0,0.034986544,0.000384468,0,0.000384468,0.038831219,0.038831219,0.034986544,0.038831219,0.000384468,0.000384468,0.038831219,0.038831219,0.034986544,0.038831219,0.000384468,0.038831219,0.038831219,0.034986544,0.038831219,0.038446751,0.038446751,0.034986544,0.038831219,0,0.000384468,0.034986544,0.000384468,0.034986544,0.034986544,0,0.807766244,0
463,0.038831219,0.999615532,0.980776624,0.807766244,0.038831219,0.807381776,0,1,0.038831219,0.980776624,0.038831219,0.038446751,0.999615532,1,0.807766244,0.980776624,0.807766244,0.942329873,0.807381776,0.000384468,0.615532488,0.038831219,0.807766244,0.038446751,0.942329873,0.038446751,0.038831219,0.961553249,0.807381776,0.803921569,0.788542868,0.615532488,0.807766244,0.803921569,0.038446751,0.999615532,0.034986544,0.961553249,0.615532488,0.961553249,0.961168781,0.61514802,0.000384468,0.788542868,0.000384468,0.034986544,0.923106498,0.803921569,0.980776624,0.788542868,0.788542868,0,0.788542868,0.788542868,0.000384468,0.615532488,0.031141869,0.61514802,0.788542868,0.961553249,0.807766244,0.980776624,0.61514802,0.034986544,0.61514802,0.615532488,0.038831219,0.807381776,0.000384468,0.803921569,0.615532488,0.038831219,0.807381776,0.034986544,0.923106498,0.034986544,0.034986544,0.942329873,0.803921569,0.784698193,0.784698193,0.807381776,0.038831219,0.807766244,0.803921569,0.807766244,0.807381776,0.807381776,0.038831219,0.942329873,0.034986544,1,0.038831219,0.980776624,0.038831219,0.038446751,0.999615532,1,0.807766244,0.980776624,0.996155325,0.788542868,0.996155325,0.996155325,0.788542868,0.034986544,0.961553249,0.034986544,0.788542868,0,0.000384468,0.807766244,0.961168781,0.615532488,0.942329873,0.788542868,0.788542868,0.000384468,0.615532488,0.031141869,0.61514802,0.000384468,0.807766244,0.961168781,0.615532488,0.942329873,0.807381776,0.961553249,0.615532488,0.942329873,0.615532488,0.034986544,0.615532488,0.788542868,0.000384468,0.784698193,0,1,4
464,0,0.000384468,0.000384468,0.615532488,0,0.000384468,0.615532488,0.615532488,0,0.000384468,0.000384468,0,0.000384468,0,0,0.61514802,0.000384468,0.000384468,0.615532488,0,0.000384468,0.615532488,0.615532488,0,0.000384468,0.000384468,0,0.000384468,0,0,0.61514802,0.000384468,0.61514802,0.000384468,0.000384468,0.615532488,0.615532488,0.000384468,1.11E-16,1.11E-16,0.000384468,0.000384468,0.000384468,0.000384468,0.615532488,0.615532488,0.000384468,1.11E-16,0.615532488,0.615532488,0.000384468,0.000384468,0.000384468,0.000384468,1.11E-16,0.000384468,0.000384468,0.615532488,0.615532488,0.615532488,0.000384468,0.000384468,0.615532488,0.61514802,0.61514802,0.615532488,0.615532488,0.615532488,0.615532488,0.000384468,0.000384468,0.615532488,0.615532488,0,0.000384468,0.000384468,0,0.000384468,0,0,0.61514802,0.615532488,0.615532488,0.000384468,0.000384468,0.000384468,0.000384468,1.11E-16,0.000384468,0.000384468,0.615532488,0.000384468,0.615532488,0.615532488,0.615532488,0.615532488,0.615532488,0.615532488,0.615532488,0.000384468,0.615532488,0.615532488,0.615532488,0.615532488,0.615532488,0.615532488,0.615532488,0.000384468,0.000384468,0.000384468,0,0.000384468,0,0,0.61514802,1.11E-16,0.000384468,0.000384468,0.000384468,0.000384468,0.615532488,0.000384468,0.000384468,0.000384468,0.000384468,0.615532488,0.000384468,0,0,0.61514802,0.000384468,0.000384468,0.615532488,0,0.61514802,0.61514802,0,0.615532488,0
465,0.034986544,0.000384468,0.000384468,0.61514802,1.11E-16,0.038831219,0.034986544,0.034986544,0.000384468,0.000192252,0.000384468,0.000384468,0.034986544,0.000384468,0.000384468,0.019607843,0.031141869,0.034986544,0.788542868,0.034986544,0.034986544,0.038446751,0.038446751,0.031141869,0.034800982,0.031141869,0.034986544,0.038446751,0.034986544,0.031141869,0.019607843,0.000384468,0.615532488,0.000384468,0.038446751,0.034986544,0.034986544,1.11E-16,0.000192252,1.11E-16,0.000384468,0.034986544,0.000384468,1.11E-16,0.019607843,0.615532488,0.000384468,0.038831219,0.034986544,0.034986544,0.000384468,0.000192252,0.000384468,1.11E-16,0.034986544,0.000384468,0.000384468,0.019607843,0.61514802,0.807766244,0.788542868,0.788542868,0.615532488,0.615458559,0.615532488,0.615532488,0.788542868,0.615532488,0.615532488,0.803921569,0.038831219,0.034986544,0.034986544,0.000384468,0.000192252,0.000384468,0.000384468,0.034986544,0.000384468,0.000384468,0.019607843,0.000384468,0.038831219,0.038446751,0.038646396,0.038446751,0.038831219,0.038831219,0.034986544,0.038446751,0.019607843,0.038446751,0.034986544,0.034800982,0.034986544,0.034986544,0.038446751,0.031141869,0.034986544,0.019607843,0.034986544,0.034800982,0.034986544,0.034986544,0,0.034986544,0.034986544,0.019607843,0.000192252,1.11E-16,0.000384468,0.034986544,0.000384468,1.11E-16,0.019607843,0.000192252,0.000192252,0.034800982,0.000192252,0.000192252,0.019419324,0.000384468,0.034986544,0.000384468,1.11E-16,0.019607843,0.034986544,0.000384468,0.000384468,0.019607843,0.034986544,0.034986544,0.019607843,0.000384468,0.019607843,0.019607843,0,0.807766244,0
